Name, Country, Age, Death_year, Death_cause
Carrie_Barefoot_Dickerson, United States, 89, 2006, Unknown
Carrie_Rozelle, Canada, 70, 2007, Unknown
Carter_Camp, United States, 72, 2013, Unknown
Catherine_Fahringer, United States, 86, 2008, Unknown
Catherine_Webb_(co-operative_activist), United States, 86, 1947, Unknown
Cayetano_Coll_y_Cuchí, Unknwon, 80, 1961, Unknown
Cecil_Chaudhry, Pakistan, 65, 2012, Unknown
Cecil_Fergerson, United States, 82, 2013, Unknown
Cedric_Wyatt, Australia, 74, 2014, Unknown
Cemach_Feldstein, Lithuania, 60, 1944, Unknown
Chakufwa_Chihana, South Africa, 67, 2006, Unknown
Channing_E._Phillips, United States, 59, 1987, Unknown
Channing_Heggie_Tobias, United States, 79, 1961, Unknown
Charles_Arthur_Moser, United States, 71, 2006, Unknown
Charles_Bennett_Ray, United States, 71, 1886, Unknown
Charles_Benton, United States, 84, 2015, Unknown
Charles_Coates_Walker, United States, 84, 2004, Unknown
Charles_Edwin_Dagenett, United States, 84, 1941, Unknown
Charles_Henry_Langston, United States, 84, 1892, Unknown
Charles_Kenzie_Steele, United States, 66, 1980, Unknown
Charles_L._Coon, United States, 66, 1927, Unknown
Charles_Lee_Smith, United States, 77, 1964, Unknown
Danilo_Dolci, Italy, 73, 1997, Unknown
Dardo_Cabo, Unknwon, 36, 1977, Unknown
Darlene_Keju, Marshall Islands, 45, 1996, Unknown
Darren_Manzella, United States, 36, 2013, Unknown
Daut_Boriçi, United States, 36, 1896, Unknown
David_Blis, United States, 36, 1942, Unknown
David_Brown_(Massachusetts), United States, 36, 1812, Unknown
David_Croker, Unknwon, 74, 2006, Unknown
David_Fleming_(writer), United Kingdom, 70, 2010, Unknown
David_Hobman, Unknwon, 76, 2003, Unknown
David_I._Shapiro, Unknwon, 81, 2009, Unknown
David_Kirby_(activist), United States, 33, 1990, Unknown
David_Kirk_(activist), United States, 72, 2007, Unknown
David_P._Brill, United States, 24, 1979, Unknown
David_Pecaut, Canada, 54, 2009, Unknown
David_R._Jones_(organizer), United States, 60, 1998, Unknown
David_Richmond_(activist), United States, 49, 1990, Lung cancer
David_Ruggles, United States, 49, 1849, Unknown
Davide_Cesare, Italy, 26, 2003, Unknown
Davidson_Don_Tengo_Jabavu, Unknwon, 74, 1959, Unknown
Dawson_Burns, Unknwon, 74, 1909, Unknown
Death_of_Ciara_Durkin, Afghanistan, 30, 2007, Unknown
Death_of_Jairo_Mora_Sandoval, Costa Rica, 26, 2013, Asphyxia
Debbie_Purdy, United Kingdom, 51, 2014, Unknown
Deborah_Hartin, United States, 72, 2005, Unknown
Deep_Tyagi, India, 41, 1969, Unknown
Dehra_Parker, Unknwon, 81, 1963, Unknown
Dekha_Ibrahim_Abdi, Kenya, 47, 2011, Unknown
Deng_Yanda, China, 36, 1931, Unknown
Dennis_Coslett, Unknwon, 65, 2004, Unknown
Dennis_deLeon, United States, 61, 2009, Unknown
Deryck_Abel, Unknwon, 47, 1965, Unknown
Desmond_Buckle, Ghana, 54, 1964, Unknown
